date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:16	143/143	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/robots.txt		(from )
17:41:16	52053/52053	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:48%20GMT	http://webdesign-finder.com/html/towy/	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/index.html	(from )
17:41:16	121205/121205	---M-Z	200	added ('OK')	text/css	etag:%221d975-54b62041efe2c-gzip%22	http://webdesign-finder.com/html/towy/css/bootstrap.min.css	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/css/bootstrap.min.css	(from http://webdesign-finder.com/html/towy/)
17:41:17	44984/44984	---M-Z	200	added ('OK')	text/css	etag:%22afb8-54b62041f3cac-gzip%22	http://webdesign-finder.com/html/towy/css/animations.css	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/css/animations.css	(from http://webdesign-finder.com/html/towy/)
17:41:17	72797/72797	---M-Z	200	added ('OK')	text/css	etag:%2211c5d-54b620423ff6c-gzip%22	http://webdesign-finder.com/html/towy/css/fonts.css	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/css/fonts.css	(from http://webdesign-finder.com/html/towy/)
17:41:18	242934/242934	---M-Z	200	added ('OK')	text/css	etag:%223b4f6-54fee22387317-gzip%22	http://webdesign-finder.com/html/towy/css/main.css	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/css/main.css	(from http://webdesign-finder.com/html/towy/)
17:41:19	15418/15418	---M-Z	200	added ('OK')	application/javascript	etag:%223c3a-54b6206cfe5c1-gzip%22	http://webdesign-finder.com/html/towy/js/vendor/modernizr-2.6.2.min.js	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/js/vendor/modernizr-2.6.2.min.js	(from http://webdesign-finder.com/html/towy/)
17:41:21	1863/1863	---M--	200	added ('OK')	image/png	etag:%22747-54b62046cfef2%22	http://webdesign-finder.com/html/towy/images/logo.png	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/images/logo.png	(from http://webdesign-finder.com/html/towy/)
17:41:24	52053/52053	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:48%20GMT	http://webdesign-finder.com/html/towy/index.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/index-2.html	(from http://webdesign-finder.com/html/towy/)
17:41:25	35098/35098	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:48%20GMT	http://webdesign-finder.com/html/towy/index_singlepage.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/index_singlepage.html	(from http://webdesign-finder.com/html/towy/)
17:41:26	37387/37387	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:37%20GMT	http://webdesign-finder.com/html/towy/admin_index.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/admin_index.html	(from http://webdesign-finder.com/html/towy/)
17:41:28	31173/31173	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:36%20GMT	http://webdesign-finder.com/html/towy/about.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/about.html	(from http://webdesign-finder.com/html/towy/)
17:41:29	39385/39385	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:50%20GMT	http://webdesign-finder.com/html/towy/shortcodes_teasers.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/shortcodes_teasers.html	(from http://webdesign-finder.com/html/towy/)
17:41:30	42422/42422	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:50%20GMT	http://webdesign-finder.com/html/towy/shortcodes_typography.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/shortcodes_typography.html	(from http://webdesign-finder.com/html/towy/)
17:41:32	32435/32435	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:49%20GMT	http://webdesign-finder.com/html/towy/shortcodes_buttons.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/shortcodes_buttons.html	(from http://webdesign-finder.com/html/towy/)
17:41:33	36646/36646	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:49%20GMT	http://webdesign-finder.com/html/towy/shortcodes_pricing.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/shortcodes_pricing.html	(from http://webdesign-finder.com/html/towy/)
17:41:35	28529/28529	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:50%20GMT	http://webdesign-finder.com/html/towy/shortcodes_progress.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/shortcodes_progress.html	(from http://webdesign-finder.com/html/towy/)
17:41:36	44590/44590	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2008:53:50%20GMT	http://webdesign-finder.com/html/towy/shortcodes_tabs.html	C:/My%20Web%20Sites/Exaample/webdesign-finder.com/html/towy/shortcodes_tabs.html	(from http://webdesign-finder.com/html/towy/)
